Store,Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,CPI,Unemployment,Type,Size,sales_lag_1,sales_lag_2,sales_lag_4,sales_lag_8,sales_roll_mean_4,sales_roll_std_4,sales_roll_mean_8,sales_roll_std_8,week_of_year,year
1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,A,151315,1404429.92,1472515.79,1554806.68,1643690.9,1467823.495,64308.38101632066,1522329.76,102848.0409315057,13,2010
1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,A,151315,1594968.28,1404429.92,1439541.59,1641957.44,1477863.895,82871.76229599727,1516239.4324999999,95838.50123841035,14,2010
1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,A,151315,1545418.53,1594968.28,1472515.79,1611968.17,1504333.13,83458.04335445474,1504172.06875,82960.02515456246,15,2010
1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,A,151315,1466058.28,1545418.53,1404429.92,1409727.59,1502718.7525,84336.49103572944,1485933.3325,71061.35162532078,16,2010
1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,A,151315,1391256.12,1466058.28,1594968.28,1554806.68,1499425.3025,89550.29826614384,1483624.3987500002,74125.20280870455,17,2010
1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,A,151315,1425100.71,1391256.12,1545418.53,1439541.59,1456958.41,66432.18202288529,1467411.1525,70424.1942894919,18,2010
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,A,151315,1603955.12,1425100.71,1466058.28,1472515.79,1471592.5575,93391.49007121939,1487962.84375,83841.2926138136,19,2010
1,2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,A,151315,1494251.5,1603955.12,1391256.12,1404429.92,1478640.8625,93897.10021693469,1490679.8075,83621.0986891044,20,2010
1,2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,A,151315,1399662.07,1494251.5,1425100.71,1594968.28,1480742.35,91348.94221530126,1490083.82625,84337.55384377709,21,2010
1,2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,A,151315,1432069.95,1399662.07,1603955.12,1545418.53,1482484.6600000001,89990.28757758501,1469721.5350000001,74486.46941173743,22,2010
1,2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,A,151315,1615524.71,1432069.95,1494251.5,1466058.28,1485377.0575,95229.32666829095,1478484.8074999999,87628.9336649198,23,2010
1,2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,A,151315,1542561.09,1615524.71,1399662.07,1391256.12,1497454.455,99688.97915495554,1488047.65875,90215.27943744256,24,2010
1,2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,A,151315,1503284.06,1542561.09,1432069.95,1425100.71,1523359.9525,76594.02113840077,1502051.1512499999,81298.69093982888,25,2010
1,2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,A,151315,1422711.6,1503284.06,1615524.71,1603955.12,1521020.365,80362.22961956475,1501752.5125,81625.46918952123,26,2010
